Estacao,ID,Demanda,Line,Conexoes
Jabaquara,1,70,1 Azul,
Conceição,2,28,1 Azul,
São Judas,3,16,1 Azul,
Saúde-Ultrafarma,4,27,1 Azul,
Praça da Árvore,5,16,1 Azul,
Santa Cruz,6,97,1 Azul,
Vila Mariana,7,21,1 Azul,
Ana Rosa,8,78,1 Azul,"1 Azul, 2 Verde"
Paraíso,9,98,1 Azul,"1 Azul, 2 Verde"
Vergueiro,10,26,1 Azul,
São Joaquim,11,32,1 Azul,
Liberdade,12,22,1 Azul,
Sé,13,174,1 Azul,"1 Azul, 3 Vermelha"
São Bento,14,55,1 Azul,
Luz,15,135,1 Azul,"1 Azul, 4 Amarela, 7 Rubi, 11 Coral"
Tiradentes,16,16,1 Azul,
Armênia,17,20,1 Azul,
Portuguesa-Tietê,18,46,1 Azul,
Carandiru,19,11,1 Azul,
Santana,20,50,1 Azul,
Jardim São Paulo-Ayrton Senna,21,12,1 Azul,
Parada Inglesa,22,13,1 Azul,
Tucuruvi,23,56,1 Azul,
Vila Prudente,24,76,2 Verde,"2 Verde, 15 Prata"
Tamanduateí,25,73,2 Verde,"2 Verde, 10 Turquesa"
Sacomã,26,40,2 Verde,
Alto do Ipiranga,27,18,2 Verde,
Santos-Imigrantes,28,15,2 Verde,
Chácara Klabin,29,83,2 Verde,
Ana Rosa,30,62,2 Verde,"1 Azul, 2 Verde"
Paraíso,31,65,2 Verde,"1 Azul, 2 Verde"
Brigadeiro,32,50,2 Verde,
Trianon-Masp,33,48,2 Verde,"2 Verde., 4 Amarela"
Consolação,34,100,2 Verde,"2 Verde., 4 Amarela"
Clínicas,35,21,2 Verde,
Sumaré,36,10,2 Verde,
Vila Madalena,37,21,2 Verde,
Corinthians-Itaquera,38,73,3 Vermelha,
Artur Alvim,39,56,3 Vermelha,
Patriarca,40,22,3 Vermelha,
Guilhermina-Esperança,41,21,3 Vermelha,
Vila Matilde,42,27,3 Vermelha,
Penha,43,28,3 Vermelha,
Carrão,44,51,3 Vermelha,
Tatuapé,45,76,3 Vermelha,
Belém,46,38,3 Vermelha,
Bresser-Mooca,47,31,3 Vermelha,
Brás,48,321,3 Vermelha,"3 Vermelha, 10 Turquesa, 11 Coral, 12 Safira"
Pedro II,49,16,3 Vermelha,
Sé,50,205,3 Vermelha,"1 Azul, 3 Vermelha"
Anhangabaú,51,51,3 Vermelha,
República,52,123,3 Vermelha,"3 Vermelha, 4 Amarela"
Santa Cecília,53,23,3 Vermelha,"3 Vermelha, 7 Rubi"
Marechal Deodoro,54,26,3 Vermelha,
Palmeiras-Barra Funda,55,140,3 Vermelha,"3 Vermelha, 7 Rubi"
Luz,56,134,4 Amarela,"1 Azul, 4 Amarela, 7 Rubi, 11 Coral"
República,57,99,4 Amarela,"3 Vermelha, 4 Amarela"
Higienópolis-Mackenzie,58,26,4 Amarela,
Paulista,59,102,4 Amarela,
Fradique Coutinho,60,17,4 Amarela,
Faria Lima,61,35,4 Amarela,
Pinheiros,62,100,4 Amarela,"4 Amarela, 9 Esmeralda"
Butantã,63,35,4 Amarela,
São Paulo-Morumbi,64,22,4 Amarela,
Vila Sônia,65,46,4 Amarela,
Oscar Freire,66,24,4 Amarela,
Consolação,67,76,4 Amarela,"2 Verde., 4 Amarela"
Trianon-Masp,68,24,4 Amarela,"2 Verde., 4 Amarela"
Capão Redondo,69,91,5 Lilás,
Campo Limpo,70,37,5 Lilás,
Vila das Belezas,71,14,5 Lilás,
Giovanni Gronchi,72,22,5 Lilás,
Santo Amaro,73,82,5 Lilás,
Largo Treze,74,31,5 Lilás,
Adolfo Pinheiro,75,12,5 Lilás,
Alto da Boa Vista,76,5,5 Lilás,
Borba Gato,77,11,5 Lilás,
Brooklin,78,17,5 Lilás,
Campo Belo,79,12,5 Lilás,
Eucaliptos,80,18,5 Lilás,
Moema,81,19,5 Lilás,
AACD-Servidor,82,10,5 Lilás,
Hospital São Paulo,83,10,5 Lilás,
Santa Cruz,84,65,5 Lilás,
Chácara Klabin,85,83,5 Lilás,
Jundiaí,86,325,7 Rubi,
Várzea Paulista,87,60,7 Rubi,
Campo Limpo Paulista,88,108,7 Rubi,
Botujuru,89,50,7 Rubi,
Francisco Morato,90,775,7 Rubi,
Baltazar Fidélis,91,219,7 Rubi,
Franco da Rocha,92,503,7 Rubi,
Caieiras,93,299,7 Rubi,
Perus,94,548,7 Rubi,
Vila Aurora,95,254,7 Rubi,
Jaraguá,96,428,7 Rubi,
Vila Clarice,97,99,7 Rubi,
Pirituba,98,423,7 Rubi,
Piqueri,99,223,7 Rubi,
Lapa,100,748,7 Rubi,
Água Branca,101,202,7 Rubi,
Palmeiras-Barra Funda,102,3413,7 Rubi,"3 Vermelha, 7 Rubi"
Luz,103,1217,7 Rubi,"1 Azul, 4 Amarela, 7 Rubi, 11 Coral"
Santa Cecília,104,45,7 Rubi,"3 Vermelha, 7 Rubi"
Amador Bueno,105,3,8 Diamante,
Ambuitá,106,0,8 Diamante,
Santa Rita,107,2,8 Diamante,
Itapevi,108,25,8 Diamante,
Engenheiro Cardoso,109,5,8 Diamante,
Sagrado Coração,110,2,8 Diamante,
Jandira,111,13,8 Diamante,
Jardim Silveira,112,7,8 Diamante,
Jardim Belval,113,3,8 Diamante,
Barueri,114,21,8 Diamante,
Antônio João,115,13,8 Diamante,
Santa Terezinha,116,1,8 Diamante,
Carapicuíba,117,25,8 Diamante,
General Miguel Costa,118,14,8 Diamante,
Quitaúna,119,4,8 Diamante,
Comandante Sampaio,120,9,8 Diamante,
Osasco,121,34,8 Diamante,
Presidente Altino,122,6,8 Diamante,
Imperatriz Leopoldina,123,13,8 Diamante,
Domingos de Moraes,124,16,8 Diamante,
Lapa,125,17,8 Diamante,
Barra Funda,126,91,8 Diamante,
Júlio Prestes,127,4,8 Diamante,
Osasco,128,15,9 Esmeralda,
Presidente Altino,129,3,9 Esmeralda,
Ceasa,130,5,9 Esmeralda,
Villa Lobos-Jaguaré,131,11,9 Esmeralda,
Cidade Universitária,132,6,9 Esmeralda,
Pinheiros,133,93,9 Esmeralda,"4 Amarela, 9 Esmeralda"
Hebraica-Rebouças,134,7,9 Esmeralda,
Cidade Jardim,135,11,9 Esmeralda,
Vila Olímpia,136,25,9 Esmeralda,
Berrini,137,13,9 Esmeralda,
Morumbi,138,18,9 Esmeralda,
Granja Julieta,139,11,9 Esmeralda,
Santo Amaro,140,5,9 Esmeralda,
Socorro,141,79,9 Esmeralda,
Jurubatuba,142,8,9 Esmeralda,
Autódromo,143,12,9 Esmeralda,
Primavera-Interlagos,144,8,9 Esmeralda,
Grajaú,145,13,9 Esmeralda,
Bruno Covas- Mendes – Vila Natal,146,43,9 Esmeralda,
Varginha,147,27,9 Esmeralda,
Brás,148,773,10 Turquesa,"3 Vermelha, 10 Turquesa, 11 Coral, 12 Safira"
Mooca,149,244,10 Turquesa,
Ipiranga,150,286,10 Turquesa,
Tamanduateí,151,1729,10 Turquesa,"2 Verde, 10 Turquesa"
São Caetano do Sul-Prefeito Walter Braido,152,715,10 Turquesa,
Utinga,153,206,10 Turquesa,
Prefeito Saladino,154,203,10 Turquesa,
Santo André,155,1349,10 Turquesa,
Capuava,156,170,10 Turquesa,
Mauá,157,1174,10 Turquesa,
Guapituba,158,192,10 Turquesa,
Ribeirão Pires,159,384,10 Turquesa,
Rio Grande da Serra,160,227,10 Turquesa,
Luz,161,1878,11 Coral,"1 Azul, 4 Amarela, 7 Rubi, 11 Coral"
Brás,162,1185,11 Coral,"3 Vermelha, 10 Turquesa, 11 Coral, 12 Safira"
Tatuapé,163,1208,11 Coral,
Corinthians-Itaquera,164,1089,11 Coral,
Dom Bosco,165,470,11 Coral,
José Bonifácio,166,438,11 Coral,
Guaianases,167,1887,11 Coral,
Antonio Gianetti Neto,168,370,11 Coral,
Ferraz de Vasconcelos,169,666,11 Coral,
Poá,170,325,11 Coral,
