Estacao,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
Jabaquara,0.0,0.0,1.0580066607950873e-06
Conceição,0.0,0.0,1.0580066607950873e-06
São Judas,0.0,0.0,1.0580066607950873e-06
Saúde-Ultrafarma,0.0,0.0,1.0580066607950873e-06
Praça Da Árvore,0.0,0.0,1.0580066607950873e-06
Santa Cruz,0.0,0.0,1.0580066607950873e-06
Vila Mariana,0.0,0.0,1.0580066607950873e-06
Ana Rosa,0.005747126436781609,0.0,0.27735009808746736
Paraíso,0.005747126436781609,0.0,0.27735009808746736
Vergueiro,0.0,0.0,1.0580066607950873e-06
São Joaquim,0.0,0.0,1.0580066607950873e-06
Liberdade,0.0,0.0,1.0580066607950873e-06
Sé,0.005747126436781609,0.0,0.27735009808746736
São Bento,0.0,0.0,1.0580066607950873e-06
Luz,0.005747126436781609,0.0,0.27735009808746736
Tiradentes,0.0,0.0,1.0580066607950873e-06
Armênia,0.0,0.0,1.0580066607950873e-06
Portuguesa-Tietê,0.0,0.0,1.0580066607950873e-06
Carandiru,0.0,0.0,1.0580066607950873e-06
Santana,0.0,0.0,1.0580066607950873e-06
Jardim São Paulo-Ayrton Senna,0.0,0.0,1.0580066607950873e-06
Parada Inglesa,0.0,0.0,1.0580066607950873e-06
Tucuruvi,0.0,0.0,1.0580066607950873e-06
Vila Prudente,0.005747126436781609,0.0,0.27735009808746736
Tamanduateí,0.005747126436781609,0.0,0.27735009808746736
Sacomã,0.0,0.0,1.0580066607950873e-06
Alto Do Ipiranga,0.0,0.0,1.0580066607950873e-06
Santos-Imigrantes,0.0,0.0,1.0580066607950873e-06
Chácara Klabin,0.0,0.0,1.0580066607950873e-06
Brigadeiro,0.0,0.0,1.0580066607950873e-06
Trianon-Masp,0.0,0.0,1.0580066607950873e-06
Consolação,0.005747126436781609,0.0,0.27735009808746736
Clínicas,0.0,0.0,1.0580066607950873e-06
Sumaré,0.0,0.0,1.0580066607950873e-06
Vila Madalena,0.0,0.0,1.0580066607950873e-06
Corinthians-Itaquera,0.0,0.0,1.0580066607950873e-06
Artur Alvim,0.0,0.0,1.0580066607950873e-06
Patriarca,0.0,0.0,1.0580066607950873e-06
Guilhermina-Esperança,0.0,0.0,1.0580066607950873e-06
Vila Matilde,0.0,0.0,1.0580066607950873e-06
Penha,0.0,0.0,1.0580066607950873e-06
Carrão,0.0,0.0,1.0580066607950873e-06
Tatuapé,0.0,0.0,1.0580066607950873e-06
Belém,0.0,0.0,1.0580066607950873e-06
Bresser-Mooca,0.0,0.0,1.0580066607950873e-06
Brás,0.005747126436781609,0.0,0.27735009808746736
Pedro Ii,0.0,0.0,1.0580066607950873e-06
Anhangabaú,0.0,0.0,1.0580066607950873e-06
República,0.005747126436781609,0.0,0.27735009808746736
Santa Cecília,0.005747126436781609,0.0,0.27735009808746736
Marechal Deodoro,0.0,0.0,1.0580066607950873e-06
Palmeiras-Barra Funda,0.0,0.0,1.0580066607950873e-06
Higienópolis-Mackenzie,0.0,0.0,1.0580066607950873e-06
Paulista,0.005747126436781609,0.0,0.27735009808746736
Fradique Coutinho,0.0,0.0,1.0580066607950873e-06
Faria Lima,0.0,0.0,1.0580066607950873e-06
Pinheiros,0.011494252873563218,0.0,0.27735009808746736
Butantã,0.0,0.0,1.0580066607950873e-06
São Paulo-Morumbi,0.0,0.0,1.0580066607950873e-06
Vila Sônia,0.0,0.0,1.0580066607950873e-06
Oscar Freire,0.0,0.0,1.0580066607950873e-06
Capão Redondo,0.0,0.0,1.0580066607950873e-06
Campo Limpo,0.0,0.0,1.0580066607950873e-06
Vila Das Belezas,0.0,0.0,1.0580066607950873e-06
Giovanni Gronchi,0.0,0.0,1.0580066607950873e-06
Santo Amaro,0.0,0.0,1.0580066607950873e-06
Largo Treze,0.0,0.0,1.0580066607950873e-06
